Star Trek | Action, Adventure, Sci-Fi | PG - 13 | 2H 7Min | y J.J. Abrams | Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana
Star Trek: The Motion Picture | Adventure, Mystery, Sci-Fi |  R  | 2H 12Min | y Robert Wise | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
Star Trek Beyond | Action, Adventure, Sci-Fi | PG - 13 | 2H 2Min | y Justin Lin | Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana
Star Trek Into Darkness | Action, Adventure, Sci-Fi | PG - 13 | 2H 12Min | y J.J. Abrams | Leonard Nimoy, Chris Pine, Zachary Quinto, Zoe Saldana
Star Trek II: The Wrath of Khan | Action, Adventure, Sci-Fi |  R  | 1H 53Min | y Nicholas Meyer | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
Star Trek: Nemesis | Action, Adventure, Sci-Fi | PG - 13 | 1H 56Min | y Stuart Baird | Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
Star Trek IV: The Voyage Home | Action, Adventure, Comedy |  R  | 1H 59Min | y Leonard Nimoy | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
Star Trek: First Contact | Action, Adventure, Drama | PG - 13 | 1H 51Min | y Jonathan Frakes | Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
Star Trek: Generations | Action, Adventure, Mystery |  R  | 1H 58Min | y David Carson | Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
Star Trek: Insurrection | Action, Adventure, Sci-Fi |  R  | 1H 43Min | y Jonathan Frakes | Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton
Star Trek VI: The Undiscovered Country | Action, Adventure, Sci-Fi |  R  | 1H 50Min | y Nicholas Meyer | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
Star Trek III: The Search for Spock | Action, Adventure, Sci-Fi |  R  | 1H 45Min | y Leonard Nimoy | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
